Ancestro Racial Definitivo;Año;Ciclo Vital Definitivo;Cod Mipio;Clasificación de la Desaparición;Departamento Hecho Dane;Día Definitivo;Entidad Usuario que Radica DEFINITIVO;Escolaridad ajustada;Estado Desaparición Definitivo;Estado civil;Factor de vulnerabilidad;Grupo EDAD;Localidad;Mayor Menor De Edad;Mes Definitivo;Municipio Hecho Dane;Número de registros;Sexo;Tipo aparición DEFINITIVA;Zona ocurrencia DEFINITIVO
Mulato;01/01/2017 12:00:00 AM;(29 a 59) Adultez;5,361;Sin información;Antioquia;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Campesinos (as) y/o trabajadores (as) del campo;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Ituango;1;Hombre;Sin Información;Rural Disperso (Vereda)
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Unión Libre;Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;63,001;Sin información;Quindio;Domingo;Policía Nacional;Educación técnica profesional y tecnológica;Aparecio Vivo;Soltero (a);Ninguno;(20 a 24);Comuna 08;b) Mayores de Edad (>18 años);Enero;Armenia;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;25,899;Sin información;Cundinamarca;Domingo;Policía Nacional;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Zipaquirá;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;63,19;Sin información;Quindio;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin escolaridad;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Circasia;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;76,001;Sin información;Valle del Cauca;Domingo;Fiscalía General de la Nación;Sin información;Aparecio Muerto;Viudo (a);Ninguno;(80 y más);Comuna 04;b) Mayores de Edad (>18 años);Enero;Santiago de Cali;1;Mujer;Fallecimiento de la Persona;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Soltero (a);Habitante de la calle;(35 a 39);NA;b) Mayores de Edad (>18 años);Enero;Manizales;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(00 a 05) Primera Infancia;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin escolaridad;Continua Desaparecido;Soltero (a);Ninguno;(00 a 04);San Cristobal;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;66,17;Sin información;Risaralda;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación inicial y educación preescolar;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(25 a 29);Comuna 01;b) Mayores de Edad (>18 años);Enero;Dos Quebradas;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;23,001;Sin información;Córdoba;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(30 a 34);NA;b) Mayores de Edad (>18 años);Enero;Montería;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;5,697;Sin información;Antioquia;Domingo;Policía Nacional;Educación inicial y educación preescolar;Continua Desaparecido;Viudo (a);Sin información;(80 y más);NA;b) Mayores de Edad (>18 años);Enero;El Santuario;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Habitante de la calle;(25 a 29);Ciudad Bolivar;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación media o secundaria alta;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(20 a 24);Suba;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Involuntaria (Trastorno Mental);Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,001;Sin información;Norte de Santander;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Muerto;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Cúcuta;1;Hombre;Desaparición Forzada;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;13,001;Sin información;Bolívar;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Cartagena;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,001;Sin información;Risaralda;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación media o secundaria alta;Aparecio Vivo;Soltero (a);Desplazados (as);(15 a 17);Cuba;a) Menores de Edad (<18 años);Enero;Pereira;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(25 a 29);Santa fe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin escolaridad;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(35 a 39);Los Martires;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Separado(a),Divorciado(a);Sin información;(30 a 34);NA;b) Mayores de Edad (>18 años);Enero;Manizales;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;52,835;Sin información;Nariño;Lunes;Policía Nacional;Sin información;Continua Desaparecido;Sin Información;Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;San Andres de Tumaco;1;Hombre;Sin Información;Rural Disperso (Vereda)
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;76,52;Sin información;Valle del Cauca;Lunes;Policía Nacional;Sin escolaridad;Continua Desaparecido;Viudo (a);Ninguno;(80 y más);NA;b) Mayores de Edad (>18 años);Enero;Palmira;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(29 a 59) Adultez;73,001;Sin información;Tolima;Lunes;Policía Nacional;Sin información;Continua Desaparecido;Unión Libre;Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Abril;Ibagué;1;Hombre;Sin Información;Sin Información
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(25 a 29);Chapinero;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Suba;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;41,001;Sin información;Huila;Lunes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Unión Libre;Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Neiva;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Lunes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Soltero (a);Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);Engativa;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Otro;(50 a 54);Kennedy;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;54,001;Sin información;Norte de Santander;Lunes;Policía Nacional;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(18 a 19);NA;b) Mayores de Edad (>18 años);Enero;Cúcuta;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(35 a 39);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;5,001;Sin información;Antioquia;Lunes;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Unión Libre;Ninguno;(35 a 39);Manrique;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;;Sin información;zzzNacionales Desaparecidos en el Extranjero;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Unión Libre;Ninguno;(18 a 19);NO DISPONIBLE;b) Mayores de Edad (>18 años);Enero;zzzNacionales Desaparecidos en el Extranjero;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Desplazados (as);(10 a 14);Usaquen;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(18 a 28) Juventud;47,001;Sin información;Magdalena;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación media o secundaria alta;Aparecio Vivo;Soltero (a);Otro;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Santa Marta;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Martes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(18 a 28) Juventud;76,001;Sin información;Valle del Cauca;Martes;Policía Nacional;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Santiago de Cali;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,001;Sin información;Antioquia;Martes;Fiscalía General de la Nación;Educación básica primaria;Continua Desaparecido;Soltero (a);Sin información;(20 a 24);Villa Hermosa;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;52,001;Sin información;Nariño;Martes;Policía Nacional;Educación básica secundaria o secundaria baja;Aparecio Vivo;Casado (a);Ninguno;(60 a 64);NA;b) Mayores de Edad (>18 años);Enero;Pasto;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,001;Sin información;Risaralda;Martes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Enero;Pereira;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);San Cristobal;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(55 a 59);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(18 a 28) Juventud;13,001;Sin información;Bolívar;Martes;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Cartagena;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Aparecio Vivo;Soltero (a);Ninguno;(40 a 44);Ciudad Bolivar;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Aparecio Vivo;Unión Libre;Otro;(65 a 69);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Involuntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;68,547;Sin información;Santander;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Muerto;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Piedecuesta;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;47,001;Sin información;Magdalena;Martes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(10 a 14);NA;a) Menores de Edad (<18 años);Enero;Santa Marta;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Otro;(45 a 49);Ciudad Bolivar;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Involuntaria (Trastorno Mental);Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(30 a 34);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ejercicio del trabajo sexual;(15 a 17);Santa fe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(10 a 14);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Casado (a);Ninguno;(55 a 59);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Unión Libre;Ninguno;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,001;Sin información;Risaralda;Miércoles;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Pereira;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;50,006;Sin información;Meta;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Acacías;1;Hombre;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,001;Sin información;Risaralda;Miércoles;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Enero;Pereira;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Viudo (a);Otro;(70 a 74);Kennedy;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;66,682;Sin información;Risaralda;Miércoles;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Personas con orientación sexual diversa (LGTBI);(18 a 19);NA;b) Mayores de Edad (>18 años);Enero;Santa Rosa de Cabal;1;Mujer;Ausencia Voluntaria;Rural Disperso (Vereda)
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Engativa;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
